chembl_id,smiles,ic50,ic50_unit,pIC50
CHEMBL2336023,Cc1ccc(C(=O)Nc2cccc(OC(C)C)c2)cc1C#Cc1cnc2ccnn2c1,35.02,nM,7.455683858252573
CHEMBL2336022,Cc1ccc(C(=O)Nc2ccc(C(F)(F)F)cc2)cc1C#Cc1cnc2ccnn2c1,1000.0,nM,6.0
CHEMBL2336021,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1C#Cc1cnc2ccnn2c1,6.14,nM,8.211831628858832
CHEMBL2336020,Cc1ccc(C(=O)Nc2cccc(I)c2)cc1C#Cc1cnc2ccnn2c1,19.75,nM,7.704432900037521
CHEMBL2336019,Cc1ccc(C(=O)Nc2cccc(Br)c2)cc1C#Cc1cnc2ccnn2c1,16.64,nM,7.778846678045295
CHEMBL2336018,COc1ccc(NC(=O)c2ccc(C)c(C#Cc3cnc4ccnn4c3)c2)cc1,22.36,nM,7.650528200785614
CHEMBL2336040,COc1cccc(NC(=O)c2ccc(C)c(C#Cc3cnc4ccnn4c3)c2)c1,4.04,nM,8.393618634889394
CHEMBL2336039,COc1ccccc1NC(=O)c1ccc(C)c(C#Cc2cnc3ccnn3c2)c1,470.0,nM,6.327902142064283
CHEMBL2336038,Cc1ccc(C(=O)Nc2ccc(Cl)cc2)cc1C#Cc1cnc2ccnn2c1,1000.0,nM,6.0
CHEMBL2336037,Cc1ccc(C(=O)Nc2cccc(Cl)c2)cc1C#Cc1cnc2ccnn2c1,2.29,nM,8.640164517660113
CHEMBL2336036,Cc1ccc(C(=O)Nc2ccccc2Cl)cc1C#Cc1cnc2ccnn2c1,1000.0,nM,6.0
CHEMBL2336035,Cc1ccc(NC(=O)c2ccc(C)c(C#Cc3cnc4ccnn4c3)c2)cc1,47.75,nM,7.321026624080235
CHEMBL2331602,Cc1cccc(NC(=O)c2ccc(C)c(C#Cc3cnc4ccnn4c3)c2)c1,5.96,nM,8.224753740259764
CHEMBL2336034,Cc1ccc(C(=O)Nc2ccccc2C)cc1C#Cc1cnc2ccnn2c1,1000.0,nM,6.0
CHEMBL2336033,Cc1ccc(C(=O)Nc2ccccc2)cc1C#Cc1cnc2ccnn2c1,38.9,nM,7.410050398674293
CHEMBL2336032,Cc1ccc(C(=O)NC2CCCC2)cc1C#Cc1cnc2ccnn2c1,39.82,nM,7.39989874430861
CHEMBL2336031,Cc1ccc(C(=O)NC2CCCCC2)cc1C#Cc1cnc2ccnn2c1,29.15,nM,7.535361440904968
CHEMBL2336030,Cc1ccc(C(=O)NCC(C)C)cc1C#Cc1cnc2ccnn2c1,1000.0,nM,6.0
CHEMBL2336029,CCCCNC(=O)c1ccc(C)c(C#Cc2cnc3ccnn3c2)c1,65.14,nM,7.1861522457711455
CHEMBL2336028,Cc1ccc(C(=O)NC(C)C)cc1C#Cc1cnc2ccnn2c1,39.63,nM,7.40197592766581
CHEMBL2336005,Oc1cccc(Nc2ccnc3cc(-c4cccc(CN5CCOCC5)c4)sc23)c1,164.0,nM,6.785156151952302
CHEMBL3086065,CNS(=O)(=O)Nc1cccc(Cc2c(C)c3cc(Cl)c(OC(=O)N(C)C)cc3oc2=O)c1,50000.0,nM,4.301029995663981
CHEMBL1738943,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2nc(CCOCc3ccncc3)cs2)cc1,68.0,nM,7.167491087293763
CHEMBL2403875,CC(C)(C)c1cc(NC(=O)Nc2cccc(Nc3ncnc4ccccc34)c2)n(-c2cccc(N)c2)n1,235.0,nM,6.628932137728264
CHEMBL2403816,CC(C)(C)c1cc(NC(=O)Nc2ccc(Nc3ncnc4ccccc34)cc2)n(-c2cccc(N)c2)n1,39.0,nM,7.4089353929735005
CHEMBL3422021,CCS(=O)(=O)c1ccc(Cl)cc1Cn1c(=O)[nH]c2c(Cl)c(CN3CCNCC3)c(C(F)(F)F)cc2c1=O,43.0,nM,7.366531544420414
CHEMBL3422020,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1ccc(CN2CCN(C)CC2)c(C(F)(F)F)c1,97.0,nM,7.013228265733755
CHEMBL3422019,CCN1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(NCc4cnc5[nH]ccc5c4OC)c3)cc2C(F)(F)F)CC1,9.0,nM,8.045757490560675
CHEMBL3421914,CCN1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Oc4ccc5c(c4)CC(=O)N5)c3)cc2C(F)(F)F)CC1,86.0,nM,7.0655015487564325
CHEMBL1299308,O=C(NCc1cccnc1)Nc1ccccc1Cl,100000.0,nM,4.0
CHEMBL3608784,O=C(NCc1cccc(NC(=O)c2cnc3ccccn23)c1)Nc1ccccc1,150.0,nM,6.823908740944319
CHEMBL3608787,Cc1ccc([C@H](C)NC(=O)Nc2ccccc2)cc1NC(=O)c1cnc2ccccn12,6.0,nM,8.221848749616356
CHEMBL3608788,Cc1ccc([C@@H](C)NC(=O)Nc2ccccc2)cc1NC(=O)c1cnc2ccccn12,1500.0,nM,5.823908740944319
CHEMBL3745885,Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21,10000.0,nM,5.0
