5SB1_Vina_Name,5SB1_Vina_Score,6FEX_KarmaDock_Name,6FEX_KarmaDock_Score,6FEW_ledock_Name,6FEW_ledock_Score,5SB1_AutodockGPU_Name,5SB1_AutodockGPU_Score,6FEW_KarmaDock_Name,6FEW_KarmaDock_Score,6FEW_AutodockGPU_Name,6FEW_AutodockGPU_Score,5SB2_AutodockGPU_Name,5SB2_AutodockGPU_Score,6FEW_Vina_Name,6FEW_Vina_Score,6FEX_ledock_Name,6FEX_ledock_Score,5SB2_KarmaDock_Name,5SB2_KarmaDock_Score,5SB2_Vina_Name,5SB2_Vina_Score,6FEX_AutodockGPU_Name,6FEX_AutodockGPU_Score,5SB2_ledock_Name,5SB2_ledock_Score,6FEX_Vina_Name,6FEX_Vina_Score,5SB1_KarmaDock_Name,5SB1_KarmaDock_Score,5SB1_ledock_Name,5SB1_ledock_Score
inh_49,-9.05,CHEMBL5195469,-115.10057830810548,inh_45.dok,-7.73,inh_37,-10.18,CHEMBL5195469,-117.73056030273438,inh_7,-10.08,inh_20,-9.49,inh_41,-9.621,inh_42.dok,-7.75,CHEMBL5195469,-99.49537658691406,inh_17,-8.112,inh_37,-9.92,inh_31.dok,-6.89,inh_23,-9.56,CHEMBL5195469,-123.76681518554688,inh_37.dok,-8.07
inh_35,-9.049,CHEMBL5177284,-58.77090072631836,inh_42.dok,-7.72,inh_26,-10.12,CHEMBL5177284,-52.14972305297852,inh_3,-10.05,inh_39,-9.2,inh_26,-9.307,inh_37.dok,-7.64,CHEMBL5177284,-52.15815353393555,inh_23,-8.071,inh_35,-9.84,inh_41.dok,-6.87,inh_35,-9.525,CHEMBL5177284,-57.10449600219727,inh_31.dok,-7.98
inh_48,-8.942,CHEMBL3969260,-87.49406433105469,inh_23.dok,-7.5,inh_17,-10.06,CHEMBL3969260,-75.37159729003906,inh_35,-9.99,inh_23,-9.16,inh_27,-9.251,inh_23.dok,-7.52,CHEMBL3969260,-69.45021057128906,inh_47,-8.054,inh_17,-9.67,inh_45.dok,-6.68,inh_41,-9.466,CHEMBL3969260,-81.90570068359375,inh_45.dok,-7.77
inh_37,-8.716,CHEMBL4517408,-47.84577941894531,inh_41.dok,-7.3,inh_39,-9.69,CHEMBL4517408,-52.23458480834961,inh_20,-9.56,inh_17,-8.76,inh_49,-9.223,inh_26.dok,-7.36,CHEMBL4517408,-58.09877395629883,inh_35,-8.038,inh_24,-9.57,inh_24.dok,-6.55,inh_47,-9.288,CHEMBL4517408,-53.42960739135742,inh_30.dok,-7.73
inh_23,-8.715,CHEMBL3422020,-78.10358428955078,inh_26.dok,-7.25,inh_23,-9.52,CHEMBL3422020,-80.35377502441406,inh_24,-9.38,inh_30,-8.63,inh_40,-8.853,inh_41.dok,-7.09,CHEMBL3422020,-79.61127471923828,inh_31,-7.97,inh_41,-9.39,inh_47.dok,-6.15,inh_40,-9.232,CHEMBL3422020,-63.532623291015625,inh_47.dok,-7.57
inh_20,-8.661,CHEMBL2403816,-104.11125183105467,inh_47.dok,-6.77,inh_47,-9.43,CHEMBL2403816,-93.4394073486328,inh_41,-9.36,inh_40,-8.22,inh_39,-8.796,inh_47.dok,-7.03,CHEMBL2403816,-99.45638275146484,inh_39,-7.953,inh_26,-9.28,inh_26.dok,-6.11,inh_49,-9.144,CHEMBL2403816,-99.11478424072266,inh_41.dok,-7.38
inh_40,-8.389,CHEMBL5076889,-91.15147399902344,inh_24.dok,-6.59,inh_40,-9.06,CHEMBL5076889,-88.68074798583984,inh_39,-9.13,inh_48,-7.57,inh_23,-8.704,inh_24.dok,-6.83,CHEMBL5076889,-94.01609802246094,inh_40,-7.693,inh_39,-9.28,inh_30.dok,-6.08,inh_27,-8.993,CHEMBL5076889,-108.27684783935548,inh_40.dok,-7.35
inh_30,-7.867,CHEMBL2336005,-65.362548828125,inh_40.dok,-6.41,inh_27,-9.03,CHEMBL2336005,-50.8740119934082,inh_23,-8.87,inh_29,-7.26,inh_30,-8.449,inh_40.dok,-6.68,CHEMBL2336005,-66.09614562988281,inh_26,-7.585,inh_23,-8.96,inh_40.dok,-5.95,inh_39,-8.736,CHEMBL2336005,-63.24118041992188,inh_24.dok,-7.29
inh_31,-7.86,CHEMBL4439970,-75.78837585449219,inh_48.dok,-5.91,inh_48,-9.02,CHEMBL4439970,-76.44866943359375,inh_40,-8.8,inh_27,-6.83,inh_31,-8.086,inh_48.dok,-5.66,CHEMBL4439970,-74.8436508178711,inh_30,-7.156,inh_40,-8.16,inh_48.dok,-5.03,inh_31,-7.475,CHEMBL4439970,-80.58989715576172,inh_48.dok,-6.33
,,CHEMBL4087478,-89.31916046142578,,,,,CHEMBL4087478,-83.19986724853516,,,,,,,,,CHEMBL4087478,-84.81595611572266,,,,,,,,,CHEMBL4087478,-97.20257568359376,,
